# wave A(l)/A(V) unc type
0.11701444543424377 3.6641723374661317 0.05949961315325603 spec
0.12703199442658303 3.165117001456476 0.05227202637608968 spec
0.13235792060868376 2.989349443786242 0.04436688903491733 spec
0.13790714085008998 2.8504016389042834 0.027433091836289916 spec
0.14368901694726988 2.634750895191659 0.03254045796851497 spec
0.14971330319810144 2.6783051362833663 0.03437593406363432 spec
0.1559901628578337 2.6779251159187867 0.034845105920909766 spec
0.16253018528497776 2.4993667516925364 0.030138598672686895 spec
0.16934440380605453 2.4367501159298457 0.029476800707965264 spec
0.17644431432933738 2.27416419397556 0.03298835503104243 spec
0.18384189473899187 2.346776613440197 0.02921282846621205 spec
0.1915496251023318 2.409730666080999 0.03931187490953888 spec
0.1995805087242818 2.3715472130213526 0.031260529706104635 spec
0.20794809408456638 2.478356638425541 0.035880105330086634 spec
0.216666497694635 2.435121784930713 0.03181859301909077 spec
0.2257504279128828 2.354706860085117 0.02910911426244951 spec
0.23521520975834567 2.243705686466903 0.02614926937760024 spec
0.24507681076473067 2.0057308677276855 0.0198971340535464 spec
0.25535186791839903 1.9613017342411438 0.016698905067812814 spec
0.26605771572574743 1.7679914597896005 0.012427449293992815 spec
0.270330011844635 1.7849392890930176 0.09388554096221924 WFC3_F275W
0.27721241545733843 1.6829279482049873 0.010925732930240403 spec
0.28883478561811626 1.5741915107817588 0.006849333898480116 spec
0.30094443369511337 1.5436892157470454 0.007799293253451515 spec
0.3354650139808655 1.4023699760437012 0.03697192296385765 WFC3_F336W
0.4745999872684479 1.123737096786499 0.013626563362777233 ACS_F475W
0.8044999837875366 0.6393827199935913 0.020778117701411247 ACS_F814W
1.1534459590911865 0.42655307054519653 0.021410483866930008 WFC3_F110W
1.536918044090271 0.2294711321592331 0.018610084429383278 WFC3_F160W
