Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"average LMC" dust with C/H = b_C = 20.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
5.689E-02 0.1903  0.7523 6.551E-22 9.713E+04
5.721E-02 0.1914  0.7468 6.629E-22 9.815E+04
5.754E-02 0.1923  0.7410 6.714E-22 9.928E+04
5.788E-02 0.1931  0.7351 6.806E-22 1.005E+05
5.821E-02 0.1873  0.7419 7.011E-22 1.043E+05
5.855E-02 0.1859  0.7353 7.193E-22 1.072E+05
5.888E-02 0.1845  0.7286 7.381E-22 1.102E+05
5.922E-02 0.1824  0.7215 7.606E-22 1.138E+05
5.957E-02 0.1799  0.7143 7.860E-22 1.180E+05
5.991E-02 0.1772  0.7074 8.119E-22 1.223E+05
6.026E-02 0.1746  0.7008 8.383E-22 1.267E+05
6.060E-02 0.1719  0.6944 8.652E-22 1.312E+05
6.095E-02 0.1693  0.6882 8.927E-22 1.358E+05
6.131E-02 0.1667  0.6821 9.209E-22 1.405E+05
6.166E-02 0.1641  0.6763 9.496E-22 1.453E+05
6.202E-02 0.1616  0.6706 9.788E-22 1.503E+05
6.237E-02 0.1587  0.6671 1.005E-21 1.548E+05
6.273E-02 0.1560  0.6638 1.030E-21 1.592E+05
6.310E-02 0.1533  0.6608 1.055E-21 1.636E+05
6.346E-02 0.1508  0.6580 1.079E-21 1.678E+05
6.383E-02 0.1484  0.6555 1.103E-21 1.719E+05
6.419E-02 0.1461  0.6533 1.125E-21 1.760E+05
6.457E-02 0.1438  0.6512 1.147E-21 1.798E+05
6.494E-02 0.1417  0.6494 1.168E-21 1.836E+05
6.531E-02 0.1397  0.6478 1.188E-21 1.871E+05
6.569E-02 0.1379  0.6463 1.206E-21 1.904E+05
6.607E-02 0.1362  0.6448 1.224E-21 1.936E+05
6.645E-02 0.1346  0.6435 1.241E-21 1.966E+05
6.683E-02 0.1333  0.6422 1.255E-21 1.992E+05
6.722E-02 0.1318  0.6411 1.271E-21 2.020E+05
6.761E-02 0.1303  0.6400 1.286E-21 2.047E+05
6.800E-02 0.1289  0.6391 1.300E-21 2.074E+05
6.839E-02 0.1275  0.6382 1.315E-21 2.100E+05
6.879E-02 0.1262  0.6375 1.328E-21 2.125E+05
6.918E-02 0.1250  0.6367 1.341E-21 2.149E+05
6.958E-02 0.1239  0.6359 1.353E-21 2.171E+05
6.998E-02 0.1229  0.6352 1.364E-21 2.190E+05
7.039E-02 0.1221  0.6345 1.373E-21 2.207E+05
7.079E-02 0.1214  0.6339 1.380E-21 2.219E+05
7.120E-02 0.1209  0.6333 1.384E-21 2.228E+05
7.161E-02 0.1207  0.6328 1.386E-21 2.232E+05
7.203E-02 0.1206  0.6324 1.386E-21 2.231E+05
7.244E-02 0.1208  0.6319 1.382E-21 2.225E+05
7.286E-02 0.1212  0.6316 1.376E-21 2.214E+05
7.328E-02 0.1256  0.6128 1.411E-21 2.259E+05
7.371E-02 0.1262  0.6141 1.395E-21 2.232E+05
7.413E-02 0.1270  0.6155 1.377E-21 2.201E+05
7.456E-02 0.1280  0.6170 1.357E-21 2.167E+05
7.499E-02 0.1290  0.6185 1.336E-21 2.131E+05
7.542E-02 0.1302  0.6202 1.314E-21 2.092E+05
7.586E-02 0.1314  0.6219 1.291E-21 2.053E+05
7.630E-02 0.1327  0.6238 1.268E-21 2.013E+05
7.674E-02 0.1340  0.6258 1.245E-21 1.973E+05
7.718E-02 0.1353  0.6279 1.221E-21 1.934E+05
7.762E-02 0.1367  0.6297 1.199E-21 1.895E+05
7.807E-02 0.1385  0.6305 1.178E-21 1.858E+05
7.852E-02 0.1403  0.6314 1.158E-21 1.822E+05
7.898E-02 0.1421  0.6323 1.138E-21 1.788E+05
7.943E-02 0.1439  0.6332 1.119E-21 1.754E+05
7.989E-02 0.1456  0.6341 1.101E-21 1.722E+05
8.035E-02 0.1473  0.6350 1.083E-21 1.691E+05
8.082E-02 0.1490  0.6359 1.066E-21 1.662E+05
8.128E-02 0.1506  0.6368 1.050E-21 1.633E+05
8.175E-02 0.1522  0.6378 1.035E-21 1.606E+05
8.222E-02 0.1537  0.6387 1.020E-21 1.580E+05
8.270E-02 0.1551  0.6397 1.005E-21 1.555E+05
8.318E-02 0.1564  0.6406 9.928E-22 1.534E+05
8.366E-02 0.1575  0.6415 9.808E-22 1.513E+05
8.414E-02 0.1586  0.6423 9.694E-22 1.494E+05
8.463E-02 0.1596  0.6431 9.587E-22 1.475E+05
8.511E-02 0.1605  0.6439 9.485E-22 1.458E+05
8.561E-02 0.1613  0.6446 9.389E-22 1.442E+05
8.610E-02 0.1621  0.6453 9.297E-22 1.426E+05
8.660E-02 0.1628  0.6460 9.211E-22 1.412E+05
8.710E-02 0.1634  0.6467 9.129E-22 1.398E+05
8.760E-02 0.1640  0.6473 9.051E-22 1.385E+05
8.810E-02 0.1645  0.6479 8.977E-22 1.373E+05
8.861E-02 0.1650  0.6482 8.909E-22 1.362E+05
8.913E-02 0.1665  0.6464 8.860E-22 1.352E+05
8.964E-02 0.1680  0.6443 8.816E-22 1.343E+05
9.016E-02 0.1696  0.6419 8.776E-22 1.334E+05
9.068E-02 0.1713  0.6392 8.739E-22 1.326E+05
9.120E-02 0.1730  0.6364 8.704E-22 1.318E+05
9.173E-02 0.1747  0.6350 8.643E-22 1.306E+05
9.226E-02 0.1763  0.6338 8.578E-22 1.294E+05
9.279E-02 0.1779  0.6328 8.509E-22 1.281E+05
9.333E-02 0.1796  0.6321 8.438E-22 1.267E+05
9.386E-02 0.1811  0.6314 8.368E-22 1.255E+05
9.441E-02 0.1826  0.6308 8.298E-22 1.242E+05
9.495E-02 0.1841  0.6304 8.227E-22 1.229E+05
9.550E-02 0.1855  0.6301 8.156E-22 1.216E+05
9.605E-02 0.1870  0.6298 8.085E-22 1.204E+05
9.661E-02 0.1884  0.6296 8.014E-22 1.191E+05
9.716E-02 0.1899  0.6294 7.944E-22 1.178E+05
9.772E-02 0.1913  0.6294 7.873E-22 1.166E+05
9.829E-02 0.1927  0.6293 7.805E-22 1.154E+05
9.886E-02 0.1942  0.6293 7.736E-22 1.141E+05
9.943E-02 0.1956  0.6292 7.669E-22 1.129E+05
1.000E-01 0.1973  0.6292 7.593E-22 1.116E+05
1.006E-01 0.1990  0.6290 7.519E-22 1.103E+05
1.012E-01 0.2008  0.6289 7.444E-22 1.089E+05
1.017E-01 0.2026  0.6289 7.367E-22 1.076E+05
1.023E-01 0.2045  0.6290 7.289E-22 1.062E+05
1.029E-01 0.2064  0.6295 7.205E-22 1.047E+05
1.035E-01 0.2083  0.6302 7.119E-22 1.032E+05
1.041E-01 0.2101  0.6310 7.033E-22 1.017E+05
1.047E-01 0.2120  0.6320 6.948E-22 1.003E+05
1.053E-01 0.2137  0.6330 6.865E-22 9.884E+04
1.059E-01 0.2153  0.6340 6.786E-22 9.751E+04
1.065E-01 0.2168  0.6351 6.709E-22 9.621E+04
1.072E-01 0.2183  0.6362 6.634E-22 9.494E+04
1.078E-01 0.2198  0.6373 6.560E-22 9.371E+04
1.084E-01 0.2214  0.6382 6.488E-22 9.250E+04
1.090E-01 0.2229  0.6391 6.418E-22 9.132E+04
1.096E-01 0.2245  0.6399 6.350E-22 9.016E+04
1.103E-01 0.2261  0.6407 6.283E-22 8.903E+04
1.109E-01 0.2276  0.6414 6.218E-22 8.793E+04
1.116E-01 0.2292  0.6421 6.154E-22 8.685E+04
1.122E-01 0.2308  0.6428 6.091E-22 8.578E+04
1.128E-01 0.2324  0.6434 6.029E-22 8.473E+04
1.135E-01 0.2341  0.6441 5.968E-22 8.370E+04
1.142E-01 0.2357  0.6447 5.909E-22 8.269E+04
1.148E-01 0.2373  0.6452 5.850E-22 8.169E+04
1.155E-01 0.2390  0.6457 5.792E-22 8.071E+04
1.161E-01 0.2407  0.6461 5.736E-22 7.974E+04
1.168E-01 0.2424  0.6465 5.680E-22 7.879E+04
1.175E-01 0.2441  0.6468 5.626E-22 7.786E+04
1.182E-01 0.2459  0.6472 5.572E-22 7.693E+04
1.189E-01 0.2476  0.6475 5.519E-22 7.602E+04
1.195E-01 0.2494  0.6477 5.466E-22 7.513E+04
1.202E-01 0.2512  0.6480 5.415E-22 7.424E+04
1.209E-01 0.2530  0.6482 5.364E-22 7.337E+04
1.216E-01 0.2548  0.6484 5.315E-22 7.252E+04
1.223E-01 0.2566  0.6485 5.266E-22 7.168E+04
1.230E-01 0.2585  0.6487 5.218E-22 7.085E+04
1.237E-01 0.2603  0.6488 5.171E-22 7.004E+04
1.245E-01 0.2621  0.6489 5.125E-22 6.924E+04
1.252E-01 0.2640  0.6489 5.080E-22 6.845E+04
1.259E-01 0.2659  0.6489 5.035E-22 6.768E+04
1.266E-01 0.2678  0.6489 4.991E-22 6.691E+04
1.274E-01 0.2697  0.6489 4.948E-22 6.616E+04
1.281E-01 0.2716  0.6489 4.906E-22 6.543E+04
1.288E-01 0.2735  0.6488 4.864E-22 6.470E+04
1.296E-01 0.2754  0.6487 4.824E-22 6.399E+04
1.303E-01 0.2782  0.6485 4.769E-22 6.303E+04
1.311E-01 0.2800  0.6483 4.733E-22 6.239E+04
1.318E-01 0.2818  0.6481 4.697E-22 6.177E+04
1.326E-01 0.2836  0.6479 4.663E-22 6.116E+04
1.334E-01 0.2854  0.6476 4.629E-22 6.056E+04
1.341E-01 0.2873  0.6473 4.596E-22 5.998E+04
1.349E-01 0.2891  0.6469 4.564E-22 5.941E+04
1.357E-01 0.2910  0.6465 4.533E-22 5.885E+04
1.365E-01 0.2928  0.6460 4.502E-22 5.830E+04
1.372E-01 0.2947  0.6455 4.473E-22 5.776E+04
1.380E-01 0.2966  0.6449 4.444E-22 5.723E+04
1.388E-01 0.2985  0.6443 4.415E-22 5.671E+04
1.396E-01 0.3005  0.6435 4.388E-22 5.620E+04
1.404E-01 0.3026  0.6427 4.361E-22 5.569E+04
1.413E-01 0.3048  0.6418 4.335E-22 5.518E+04
1.421E-01 0.3072  0.6408 4.308E-22 5.465E+04
1.429E-01 0.3098  0.6397 4.281E-22 5.410E+04
1.437E-01 0.3127  0.6386 4.252E-22 5.351E+04
1.445E-01 0.3159  0.6375 4.222E-22 5.288E+04
1.454E-01 0.3193  0.6366 4.191E-22 5.223E+04
1.462E-01 0.3227  0.6358 4.158E-22 5.157E+04
1.471E-01 0.3262  0.6352 4.126E-22 5.089E+04
1.479E-01 0.3298  0.6346 4.093E-22 5.023E+04
1.488E-01 0.3333  0.6341 4.061E-22 4.957E+04
1.496E-01 0.3371  0.6337 4.028E-22 4.889E+04
1.505E-01 0.3410  0.6333 3.995E-22 4.820E+04
1.514E-01 0.3448  0.6329 3.963E-22 4.754E+04
1.522E-01 0.3487  0.6324 3.931E-22 4.688E+04
1.531E-01 0.3527  0.6319 3.901E-22 4.624E+04
1.540E-01 0.3566  0.6315 3.871E-22 4.560E+04
1.549E-01 0.3607  0.6309 3.842E-22 4.498E+04
1.558E-01 0.3646  0.6304 3.814E-22 4.437E+04
1.567E-01 0.3685  0.6299 3.787E-22 4.379E+04
1.576E-01 0.3724  0.6293 3.761E-22 4.322E+04
1.585E-01 0.3763  0.6286 3.736E-22 4.266E+04
1.594E-01 0.3803  0.6280 3.711E-22 4.211E+04
1.603E-01 0.3843  0.6272 3.687E-22 4.157E+04
1.613E-01 0.3882  0.6264 3.665E-22 4.105E+04
1.622E-01 0.3922  0.6254 3.644E-22 4.055E+04
1.631E-01 0.3962  0.6244 3.623E-22 4.006E+04
1.641E-01 0.4001  0.6234 3.604E-22 3.959E+04
1.650E-01 0.4040  0.6223 3.586E-22 3.913E+04
1.660E-01 0.4077  0.6212 3.569E-22 3.871E+04
1.669E-01 0.4113  0.6200 3.553E-22 3.830E+04
1.679E-01 0.4149  0.6188 3.539E-22 3.791E+04
1.688E-01 0.4184  0.6175 3.526E-22 3.754E+04
1.698E-01 0.4219  0.6162 3.513E-22 3.719E+04
1.708E-01 0.4251  0.6149 3.502E-22 3.686E+04
1.718E-01 0.4283  0.6135 3.492E-22 3.655E+04
1.728E-01 0.4315  0.6122 3.482E-22 3.625E+04
1.738E-01 0.4345  0.6108 3.474E-22 3.597E+04
1.748E-01 0.4375  0.6093 3.467E-22 3.571E+04
1.758E-01 0.4404  0.6079 3.462E-22 3.547E+04
1.768E-01 0.4431  0.6063 3.458E-22 3.526E+04
1.778E-01 0.4457  0.6047 3.454E-22 3.506E+04
1.789E-01 0.4481  0.6032 3.452E-22 3.489E+04
1.799E-01 0.4503  0.6016 3.451E-22 3.473E+04
1.809E-01 0.4523  0.6001 3.451E-22 3.461E+04
1.820E-01 0.4541  0.5988 3.453E-22 3.451E+04
1.830E-01 0.4557  0.5974 3.457E-22 3.445E+04
1.841E-01 0.4569  0.5961 3.463E-22 3.443E+04
1.851E-01 0.4578  0.5947 3.471E-22 3.445E+04
1.862E-01 0.4584  0.5933 3.480E-22 3.452E+04
1.873E-01 0.4586  0.5919 3.492E-22 3.462E+04
1.884E-01 0.4585  0.5904 3.505E-22 3.476E+04
1.895E-01 0.4580  0.5891 3.520E-22 3.493E+04
1.905E-01 0.4575  0.5879 3.536E-22 3.513E+04
1.916E-01 0.4569  0.5867 3.554E-22 3.535E+04
1.928E-01 0.4559  0.5858 3.575E-22 3.561E+04
1.939E-01 0.4545  0.5848 3.598E-22 3.594E+04
1.950E-01 0.4527  0.5838 3.625E-22 3.632E+04
1.961E-01 0.4505  0.5827 3.655E-22 3.677E+04
1.972E-01 0.4479  0.5814 3.687E-22 3.727E+04
1.984E-01 0.4451  0.5801 3.721E-22 3.781E+04
1.995E-01 0.4420  0.5788 3.757E-22 3.839E+04
2.007E-01 0.4387  0.5777 3.794E-22 3.899E+04
2.018E-01 0.4352  0.5769 3.832E-22 3.962E+04
2.030E-01 0.4317  0.5764 3.869E-22 4.026E+04
2.042E-01 0.4280  0.5762 3.907E-22 4.092E+04
2.054E-01 0.4243  0.5762 3.947E-22 4.160E+04
2.065E-01 0.4205  0.5760 3.987E-22 4.230E+04
2.077E-01 0.4168  0.5756 4.026E-22 4.300E+04
2.089E-01 0.4132  0.5750 4.063E-22 4.366E+04
2.101E-01 0.4100  0.5743 4.097E-22 4.426E+04
2.113E-01 0.4074  0.5735 4.125E-22 4.476E+04
2.126E-01 0.4052  0.5728 4.147E-22 4.516E+04
2.138E-01 0.4037  0.5724 4.161E-22 4.543E+04
2.150E-01 0.4026  0.5725 4.166E-22 4.556E+04
2.163E-01 0.4023  0.5731 4.161E-22 4.554E+04
2.175E-01 0.4025  0.5739 4.150E-22 4.540E+04
2.188E-01 0.4035  0.5747 4.131E-22 4.512E+04
2.200E-01 0.4050  0.5753 4.104E-22 4.471E+04
2.213E-01 0.4072  0.5758 4.071E-22 4.419E+04
2.226E-01 0.4099  0.5761 4.031E-22 4.356E+04
2.239E-01 0.4131  0.5763 3.985E-22 4.283E+04
2.252E-01 0.4168  0.5764 3.933E-22 4.200E+04
2.265E-01 0.4209  0.5766 3.876E-22 4.110E+04
2.278E-01 0.4255  0.5770 3.816E-22 4.014E+04
2.291E-01 0.4305  0.5776 3.752E-22 3.912E+04
2.304E-01 0.4359  0.5786 3.686E-22 3.808E+04
2.317E-01 0.4416  0.5796 3.621E-22 3.703E+04
2.331E-01 0.4475  0.5805 3.558E-22 3.599E+04
2.344E-01 0.4535  0.5812 3.496E-22 3.498E+04
2.358E-01 0.4596  0.5818 3.435E-22 3.399E+04
2.371E-01 0.4656  0.5821 3.377E-22 3.305E+04
2.385E-01 0.4716  0.5821 3.321E-22 3.214E+04
2.399E-01 0.4774  0.5820 3.267E-22 3.126E+04
2.413E-01 0.4831  0.5819 3.214E-22 3.042E+04
2.427E-01 0.4886  0.5818 3.162E-22 2.961E+04
2.441E-01 0.4939  0.5818 3.112E-22 2.883E+04
2.455E-01 0.4992  0.5822 3.063E-22 2.809E+04
2.469E-01 0.5043  0.5828 3.017E-22 2.739E+04
2.483E-01 0.5093  0.5834 2.975E-22 2.673E+04
2.497E-01 0.5140  0.5839 2.935E-22 2.611E+04
2.512E-01 0.5186  0.5844 2.897E-22 2.553E+04
2.526E-01 0.5230  0.5848 2.861E-22 2.499E+04
2.541E-01 0.5271  0.5850 2.828E-22 2.448E+04
2.556E-01 0.5310  0.5850 2.796E-22 2.401E+04
2.570E-01 0.5346  0.5849 2.765E-22 2.356E+04
2.585E-01 0.5381  0.5847 2.735E-22 2.314E+04
2.600E-01 0.5413  0.5845 2.706E-22 2.273E+04
2.615E-01 0.5444  0.5845 2.677E-22 2.233E+04
2.630E-01 0.5475  0.5848 2.649E-22 2.195E+04
2.645E-01 0.5505  0.5852 2.623E-22 2.159E+04
2.661E-01 0.5533  0.5857 2.598E-22 2.125E+04
2.676E-01 0.5560  0.5862 2.575E-22 2.094E+04
2.692E-01 0.5586  0.5867 2.554E-22 2.064E+04
2.707E-01 0.5611  0.5871 2.533E-22 2.036E+04
2.723E-01 0.5635  0.5874 2.514E-22 2.009E+04
2.738E-01 0.5657  0.5875 2.496E-22 1.984E+04
2.754E-01 0.5677  0.5875 2.478E-22 1.961E+04
2.770E-01 0.5696  0.5874 2.460E-22 1.939E+04
2.786E-01 0.5714  0.5873 2.442E-22 1.917E+04
2.802E-01 0.5731  0.5873 2.424E-22 1.895E+04
2.818E-01 0.5748  0.5875 2.406E-22 1.874E+04
2.835E-01 0.5764  0.5879 2.389E-22 1.853E+04
2.851E-01 0.5780  0.5884 2.373E-22 1.833E+04
2.867E-01 0.5796  0.5890 2.358E-22 1.815E+04
2.884E-01 0.5811  0.5896 2.344E-22 1.798E+04
2.901E-01 0.5825  0.5901 2.331E-22 1.782E+04
2.917E-01 0.5839  0.5906 2.318E-22 1.766E+04
2.934E-01 0.5853  0.5909 2.306E-22 1.751E+04
2.951E-01 0.5865  0.5911 2.294E-22 1.737E+04
2.968E-01 0.5876  0.5912 2.283E-22 1.724E+04
2.985E-01 0.5887  0.5913 2.271E-22 1.710E+04
3.003E-01 0.5897  0.5913 2.259E-22 1.697E+04
3.020E-01 0.5907  0.5915 2.246E-22 1.683E+04
3.037E-01 0.5921  0.5919 2.231E-22 1.667E+04
3.055E-01 0.5940  0.5924 2.216E-22 1.647E+04
3.073E-01 0.5959  0.5931 2.201E-22 1.629E+04
3.090E-01 0.5978  0.5938 2.187E-22 1.610E+04
3.108E-01 0.5997  0.5945 2.173E-22 1.593E+04
3.126E-01 0.6017  0.5951 2.160E-22 1.575E+04
3.144E-01 0.6037  0.5957 2.147E-22 1.558E+04
3.162E-01 0.6056  0.5961 2.135E-22 1.541E+04
3.181E-01 0.6075  0.5964 2.122E-22 1.525E+04
3.199E-01 0.6094  0.5966 2.109E-22 1.508E+04
3.217E-01 0.6113  0.5968 2.096E-22 1.492E+04
3.236E-01 0.6132  0.5970 2.082E-22 1.475E+04
3.255E-01 0.6151  0.5974 2.068E-22 1.457E+04
3.273E-01 0.6170  0.5979 2.054E-22 1.440E+04
3.292E-01 0.6190  0.5985 2.040E-22 1.423E+04
3.311E-01 0.6210  0.5992 2.026E-22 1.406E+04
3.330E-01 0.6230  0.6000 2.013E-22 1.390E+04
3.350E-01 0.6251  0.6007 2.001E-22 1.374E+04
3.369E-01 0.6271  0.6013 1.989E-22 1.358E+04
3.388E-01 0.6291  0.6019 1.977E-22 1.343E+04
3.408E-01 0.6311  0.6024 1.966E-22 1.328E+04
3.428E-01 0.6330  0.6027 1.954E-22 1.313E+04
3.447E-01 0.6350  0.6029 1.942E-22 1.298E+04
3.467E-01 0.6369  0.6032 1.930E-22 1.283E+04
3.487E-01 0.6389  0.6034 1.917E-22 1.268E+04
3.508E-01 0.6409  0.6037 1.904E-22 1.252E+04
3.528E-01 0.6429  0.6042 1.891E-22 1.237E+04
3.548E-01 0.6449  0.6047 1.878E-22 1.221E+04
3.569E-01 0.6470  0.6053 1.866E-22 1.206E+04
3.589E-01 0.6491  0.6060 1.853E-22 1.191E+04
3.610E-01 0.6511  0.6066 1.842E-22 1.176E+04
3.631E-01 0.6532  0.6072 1.830E-22 1.162E+04
3.652E-01 0.6552  0.6077 1.819E-22 1.148E+04
3.673E-01 0.6573  0.6082 1.808E-22 1.135E+04
3.694E-01 0.6592  0.6085 1.797E-22 1.121E+04
3.715E-01 0.6612  0.6087 1.786E-22 1.108E+04
3.737E-01 0.6631  0.6089 1.774E-22 1.094E+04
3.758E-01 0.6651  0.6091 1.762E-22 1.080E+04
3.780E-01 0.6670  0.6094 1.750E-22 1.067E+04
3.802E-01 0.6690  0.6097 1.737E-22 1.053E+04
3.824E-01 0.6710  0.6101 1.725E-22 1.039E+04
3.846E-01 0.6730  0.6106 1.713E-22 1.026E+04
3.868E-01 0.6750  0.6111 1.702E-22 1.013E+04
3.890E-01 0.6769  0.6116 1.690E-22 9.999E+03
3.913E-01 0.6789  0.6120 1.679E-22 9.874E+03
3.936E-01 0.6808  0.6124 1.669E-22 9.751E+03
3.958E-01 0.6827  0.6127 1.658E-22 9.631E+03
3.981E-01 0.6846  0.6129 1.647E-22 9.512E+03
4.004E-01 0.6864  0.6131 1.636E-22 9.394E+03
4.027E-01 0.6883  0.6132 1.625E-22 9.276E+03
4.050E-01 0.6901  0.6133 1.614E-22 9.158E+03
4.074E-01 0.6919  0.6134 1.602E-22 9.039E+03
4.097E-01 0.6937  0.6136 1.591E-22 8.921E+03
4.121E-01 0.6955  0.6138 1.579E-22 8.804E+03
4.145E-01 0.6974  0.6140 1.568E-22 8.689E+03
4.169E-01 0.6992  0.6143 1.557E-22 8.575E+03
4.193E-01 0.7009  0.6146 1.546E-22 8.465E+03
4.217E-01 0.7027  0.6148 1.535E-22 8.356E+03
4.241E-01 0.7044  0.6150 1.524E-22 8.250E+03
4.266E-01 0.7062  0.6152 1.514E-22 8.145E+03
4.290E-01 0.7078  0.6153 1.503E-22 8.043E+03
4.315E-01 0.7095  0.6154 1.493E-22 7.941E+03
4.340E-01 0.7111  0.6154 1.482E-22 7.840E+03
4.365E-01 0.7127  0.6153 1.472E-22 7.740E+03
4.390E-01 0.7143  0.6153 1.461E-22 7.641E+03
4.416E-01 0.7159  0.6153 1.450E-22 7.542E+03
4.441E-01 0.7175  0.6153 1.439E-22 7.444E+03
4.467E-01 0.7191  0.6153 1.428E-22 7.347E+03
4.493E-01 0.7206  0.6153 1.418E-22 7.252E+03
4.519E-01 0.7222  0.6154 1.407E-22 7.157E+03
4.545E-01 0.7237  0.6154 1.396E-22 7.065E+03
4.571E-01 0.7252  0.6154 1.386E-22 6.973E+03
4.597E-01 0.7267  0.6154 1.376E-22 6.883E+03
4.624E-01 0.7282  0.6153 1.365E-22 6.794E+03
4.651E-01 0.7297  0.6152 1.355E-22 6.706E+03
4.677E-01 0.7311  0.6151 1.344E-22 6.619E+03
4.704E-01 0.7325  0.6149 1.334E-22 6.533E+03
4.732E-01 0.7340  0.6148 1.324E-22 6.447E+03
4.759E-01 0.7354  0.6146 1.313E-22 6.362E+03
4.786E-01 0.7368  0.6144 1.303E-22 6.278E+03
4.814E-01 0.7382  0.6142 1.292E-22 6.195E+03
4.842E-01 0.7396  0.6140 1.282E-22 6.113E+03
4.870E-01 0.7409  0.6137 1.272E-22 6.032E+03
4.898E-01 0.7423  0.6135 1.261E-22 5.952E+03
4.926E-01 0.7436  0.6133 1.251E-22 5.874E+03
4.955E-01 0.7449  0.6130 1.241E-22 5.797E+03
4.983E-01 0.7462  0.6127 1.231E-22 5.722E+03
5.012E-01 0.7474  0.6124 1.221E-22 5.647E+03
5.041E-01 0.7486  0.6121 1.211E-22 5.574E+03
5.070E-01 0.7498  0.6118 1.201E-22 5.503E+03
5.099E-01 0.7510  0.6114 1.191E-22 5.432E+03
5.129E-01 0.7521  0.6110 1.181E-22 5.362E+03
5.158E-01 0.7532  0.6106 1.172E-22 5.294E+03
5.188E-01 0.7543  0.6102 1.162E-22 5.227E+03
5.218E-01 0.7554  0.6098 1.152E-22 5.160E+03
5.248E-01 0.7564  0.6094 1.142E-22 5.095E+03
5.278E-01 0.7575  0.6089 1.133E-22 5.031E+03
5.309E-01 0.7584  0.6085 1.123E-22 4.968E+03
5.339E-01 0.7594  0.6080 1.114E-22 4.906E+03
5.370E-01 0.7604  0.6075 1.104E-22 4.845E+03
5.401E-01 0.7613  0.6070 1.095E-22 4.785E+03
5.433E-01 0.7622  0.6064 1.085E-22 4.726E+03
5.464E-01 0.7631  0.6059 1.076E-22 4.668E+03
5.495E-01 0.7640  0.6053 1.067E-22 4.610E+03
5.527E-01 0.7648  0.6047 1.057E-22 4.554E+03
5.559E-01 0.7656  0.6041 1.048E-22 4.498E+03
5.591E-01 0.7664  0.6035 1.039E-22 4.444E+03
5.623E-01 0.7672  0.6029 1.030E-22 4.390E+03
5.656E-01 0.7680  0.6023 1.021E-22 4.337E+03
5.689E-01 0.7687  0.6016 1.012E-22 4.286E+03
5.721E-01 0.7694  0.6009 1.003E-22 4.235E+03
5.754E-01 0.7701  0.6002 9.940E-23 4.185E+03
5.788E-01 0.7707  0.5995 9.851E-23 4.136E+03
5.821E-01 0.7713  0.5988 9.763E-23 4.087E+03
5.855E-01 0.7719  0.5980 9.675E-23 4.040E+03
5.888E-01 0.7725  0.5972 9.587E-23 3.993E+03
5.922E-01 0.7731  0.5964 9.500E-23 3.948E+03
5.957E-01 0.7736  0.5956 9.414E-23 3.903E+03
5.991E-01 0.7741  0.5948 9.328E-23 3.859E+03
6.026E-01 0.7745  0.5940 9.243E-23 3.816E+03
6.060E-01 0.7750  0.5931 9.159E-23 3.773E+03
6.095E-01 0.7754  0.5923 9.075E-23 3.732E+03
6.131E-01 0.7758  0.5914 8.992E-23 3.691E+03
6.166E-01 0.7762  0.5905 8.909E-23 3.651E+03
6.202E-01 0.7765  0.5896 8.827E-23 3.612E+03
6.237E-01 0.7768  0.5887 8.746E-23 3.573E+03
6.273E-01 0.7771  0.5877 8.664E-23 3.535E+03
6.310E-01 0.7774  0.5867 8.583E-23 3.498E+03
6.346E-01 0.7777  0.5857 8.503E-23 3.461E+03
6.383E-01 0.7779  0.5847 8.423E-23 3.425E+03
