Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"average LMC" dust with C/H = b_C = 20.e-6 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.522E-02 0.3279  0.9717 2.477E-22 3.048E+04
1.531E-02 0.3272  0.9714 2.485E-22 3.061E+04
1.540E-02 0.3266  0.9711 2.493E-22 3.074E+04
1.549E-02 0.3259  0.9707 2.502E-22 3.087E+04
1.558E-02 0.3253  0.9704 2.510E-22 3.100E+04
1.567E-02 0.3247  0.9700 2.518E-22 3.113E+04
1.576E-02 0.3240  0.9697 2.526E-22 3.127E+04
1.585E-02 0.3234  0.9693 2.535E-22 3.140E+04
1.594E-02 0.3227  0.9690 2.543E-22 3.153E+04
1.603E-02 0.3221  0.9686 2.551E-22 3.167E+04
1.613E-02 0.3214  0.9683 2.560E-22 3.181E+04
1.622E-02 0.3207  0.9679 2.568E-22 3.194E+04
1.631E-02 0.3200  0.9675 2.577E-22 3.208E+04
1.641E-02 0.3193  0.9672 2.585E-22 3.222E+04
1.650E-02 0.3186  0.9668 2.593E-22 3.236E+04
1.660E-02 0.3180  0.9664 2.602E-22 3.249E+04
1.669E-02 0.3173  0.9661 2.611E-22 3.263E+04
1.679E-02 0.3166  0.9657 2.619E-22 3.277E+04
1.688E-02 0.3159  0.9653 2.628E-22 3.292E+04
1.698E-02 0.3152  0.9649 2.637E-22 3.306E+04
1.708E-02 0.3144  0.9645 2.646E-22 3.321E+04
1.718E-02 0.3137  0.9641 2.654E-22 3.336E+04
1.728E-02 0.3129  0.9637 2.663E-22 3.350E+04
1.738E-02 0.3121  0.9633 2.672E-22 3.365E+04
1.748E-02 0.3112  0.9630 2.680E-22 3.380E+04
1.758E-02 0.3104  0.9626 2.689E-22 3.395E+04
1.768E-02 0.3095  0.9622 2.698E-22 3.411E+04
1.778E-02 0.3086  0.9618 2.706E-22 3.426E+04
1.789E-02 0.3075  0.9614 2.715E-22 3.442E+04
1.799E-02 0.3064  0.9610 2.723E-22 3.458E+04
1.809E-02 0.3053  0.9607 2.732E-22 3.475E+04
1.820E-02 0.3042  0.9603 2.740E-22 3.491E+04
1.830E-02 0.3030  0.9599 2.748E-22 3.508E+04
1.841E-02 0.3018  0.9595 2.757E-22 3.524E+04
1.851E-02 0.3006  0.9592 2.765E-22 3.541E+04
1.862E-02 0.2994  0.9588 2.773E-22 3.558E+04
1.873E-02 0.2981  0.9584 2.782E-22 3.575E+04
1.884E-02 0.2961  0.9581 2.788E-22 3.593E+04
1.895E-02 0.2932  0.9580 2.791E-22 3.612E+04
1.905E-02 0.2995  0.9593 2.703E-22 3.467E+04
1.916E-02 0.2998  0.9588 2.715E-22 3.481E+04
1.928E-02 0.3002  0.9582 2.727E-22 3.494E+04
1.939E-02 0.3004  0.9576 2.739E-22 3.509E+04
1.950E-02 0.3007  0.9570 2.751E-22 3.523E+04
1.961E-02 0.3008  0.9564 2.763E-22 3.538E+04
1.972E-02 0.3009  0.9558 2.775E-22 3.552E+04
1.984E-02 0.3009  0.9553 2.787E-22 3.568E+04
1.995E-02 0.3009  0.9547 2.799E-22 3.583E+04
2.007E-02 0.3007  0.9541 2.810E-22 3.598E+04
2.018E-02 0.3006  0.9535 2.822E-22 3.614E+04
2.030E-02 0.3004  0.9530 2.833E-22 3.630E+04
2.042E-02 0.3001  0.9524 2.845E-22 3.646E+04
2.054E-02 0.2998  0.9518 2.856E-22 3.662E+04
2.065E-02 0.2994  0.9513 2.867E-22 3.678E+04
2.077E-02 0.2990  0.9507 2.878E-22 3.694E+04
2.089E-02 0.2985  0.9502 2.889E-22 3.711E+04
2.101E-02 0.2980  0.9496 2.900E-22 3.728E+04
2.113E-02 0.2974  0.9490 2.911E-22 3.745E+04
2.126E-02 0.2968  0.9485 2.922E-22 3.762E+04
2.138E-02 0.2962  0.9479 2.933E-22 3.780E+04
2.150E-02 0.2956  0.9474 2.944E-22 3.797E+04
2.163E-02 0.2949  0.9468 2.955E-22 3.814E+04
2.175E-02 0.2943  0.9463 2.966E-22 3.832E+04
