#  x        ext        unc
8.67238   3.65928   0.0872464
8.63766	  3.63298   0.0870429
8.60307	  3.62795   0.0884721
8.56862	  3.6208    0.0856429
8.53431	  3.64341   0.085733
8.50013	  3.53765   0.0870081
8.46609	  3.53677   0.0868195
8.43219	  3.5427    0.0824011
8.39843	  3.56652   0.0831442
8.06812	  3.29218   0.0700169
8.03582	  3.23503   0.0753427
8.00364	  3.2238    0.0706412
7.97159	  3.22317   0.0708828
7.93967	  3.22866   0.0725433
7.90787	  3.20417   0.0718813
7.87621	  3.15837   0.0733914
7.84467	  3.16327   0.0746335
7.81326	  3.1708    0.070549
7.78197	  3.1334    0.0701482
7.75081	  3.12145   0.0751515
7.71977	  3.11992   0.0703968
7.68886	  3.07658   0.0704839
7.65807	  3.08156   0.0716527
7.6274 	  3.04455   0.0665725
7.59686	  3.02463   0.0645906
7.56644	  3.01345   0.0646839
7.53614	  3.02961   0.0667977
7.50596	  2.9983    0.0638441
7.47591	  2.97199   0.0644936
7.44597	  2.97655   0.0646092
7.41616	  2.95303   0.0632691
7.38646	  2.92917   0.062183
7.35688	  2.9315    0.0614076
7.32742	  2.90957   0.0609257
7.29808	  2.92098   0.062895
7.26886	  2.89773   0.0621621
7.23975	  2.9216    0.0616836
7.21076	  2.96812   0.0667685
7.18189	  2.92843   0.0637902
7.15313	  2.84994   0.0628244
7.12448	  2.76261   0.06145
7.09595	  2.77898   0.0599388
7.06754	  2.79977   0.0582835
7.03924	  2.80212   0.0588209
7.01105	  2.75931   0.0552912
6.98298	  2.75237   0.0570526
6.95501	  2.74339   0.0570427
6.92716	  2.75293   0.0551712
6.89943	  2.75406   0.0551769
6.8718 	  2.73118   0.0532115
6.84428	  2.71888   0.0537545
6.81687	  2.7038    0.05434
6.78958	  2.69887   0.0542661
6.76239	  2.69127   0.0532496
6.73531	  2.67574   0.052242
6.70834	  2.68104   0.0526348
6.68148	  2.67549   0.0528077
6.65472	  2.67603   0.0543117
6.62807	  2.64334   0.0530651
6.60153	  2.65192   0.0543711
6.5751 	  2.65471   0.0535841
6.54877	  2.63698   0.0527281
6.52255	  2.79805   0.0615197
6.49643	  2.81398   0.0744345
6.47041	  2.61601   0.0604337
6.4445 	  2.52357   0.0540828
6.4187 	  2.56245   0.0502652
6.393  	  2.57612   0.0493793
6.3674 	  2.57371   0.0493413
6.3419 	  2.57366   0.0494069
6.3165 	  2.58391   0.0490926
6.29121	  2.56651   0.0485171
6.26602	  2.53891   0.0476265
6.24093	  2.5498    0.0488545
6.21594	  2.547     0.048111
6.19105	  2.52921   0.0465552
6.16625	  2.53505   0.0456084
6.14156	  2.53957   0.0465916
6.11697	  2.49688   0.0438029
6.09247	  2.50546   0.0443429
6.06808	  2.5158    0.0436129
6.04378	  2.53622   0.0431271
6.01958	  2.51002   0.0438585
5.99547	  2.51476   0.0437505
5.97147	  2.50015   0.0432799
5.94755	  2.51407   0.0428038
5.92374	  2.49824   0.0418432
5.90002	  2.50799   0.0427744
5.87639	  2.49206   0.0426111
5.85286	  2.51322   0.0430678
5.82942	  2.53216   0.043576
5.80608	  2.49304   0.0449369
5.78283	  2.50232   0.0427624
5.75968	  2.49258   0.0420389
5.73661	  2.49553   0.0433408
5.71364	  2.49845   0.0431901
5.69076	  2.48743   0.0408719
5.66797	  2.49823   0.0410534
5.64528	  2.51739   0.0432204
5.62267	  2.51013   0.0428762
5.60016	  2.51298   0.0412307
5.57773	  2.5099    0.0434997
5.5554 	  2.51117   0.0390442
5.53315	  2.50904   0.0404766
5.51099	  2.50831   0.0409797
5.48893	  2.52974   0.0407884
5.46695	  2.52566   0.0407895
5.44505	  2.53674   0.0418381
5.42325	  2.55254   0.0441335
5.40153	  2.542     0.0435533
5.3799 	  2.53676   0.0417593
5.35836	  2.54664   0.0411644
5.33691	  2.54644   0.0394862
5.31553	  2.55759   0.0421479
5.29425	  2.5741    0.0443296
5.27305	  2.58273   0.0444373
5.25193	  2.61147   0.0450305
5.2309 	  2.61443   0.0445311
5.20996	  2.62011   0.0444786
5.18909	  2.62936   0.0454764
5.16832	  2.63393   0.0437134
5.14762	  2.65589   0.0434556
5.12701	  2.66957   0.0441117
5.10648	  2.68421   0.045317
5.08603	  2.70437   0.0426919
5.06566	  2.70523   0.0407817
5.04538	  2.70803   0.0415202
5.02517	  2.7383    0.0436795
5.00505	  2.76815   0.0460842
4.98501	  2.78111   0.0441931
4.96505	  2.77637   0.0429678
4.94517	  2.78608   0.0416575
4.92536	  2.79124   0.0405409
4.90564	  2.84364   0.0449516
4.886  	  2.84704   0.0422263
4.86643	  2.84201   0.04354
4.84695	  2.91489   0.0447088
4.82754	  2.89018   0.0427848
4.80821	  2.91718   0.0427436
4.78895	  2.94838   0.0454757
4.76978	  2.98511   0.0459811
4.75068	  2.98107   0.0452352
4.73165	  3.03746   0.0473206
4.71271	  2.99576   0.0440146
4.69383	  3.05553   0.0460769
4.67504	  3.07511   0.0476268
4.65632	  3.07822   0.0476545
4.63767	  3.06783   0.0466497
4.6191 	  3.09312   0.0461933
4.60061	  3.05633   0.0468001
4.58218	  3.05563   0.0456869
4.56383	  3.09865   0.0484227
4.54556	  3.05498   0.0460075
4.52736	  3.06246   0.0460413
4.50923	  3.02764   0.0450113
4.49117	  2.99527   0.0462236
4.47319	  3.00572   0.0468239
4.45528	  2.95838   0.0438579
4.43744	  2.95917   0.0437953
4.41967	  2.91366   0.0440855
4.40197	  2.88411   0.0427247
4.38434	  2.85771   0.0428557
4.36678	  2.82407   0.040375
4.3493 	  2.77112   0.0404052
4.33188	  2.73591   0.038604
4.31454	  2.72641   0.0383919
4.29726	  2.68104   0.0376932
4.28005	  2.62841   0.0359274
4.26291	  2.63436   0.0366497
4.24584	  2.57767   0.0347373
4.22884	  2.58473   0.0364086
4.21191	  2.54006   0.0331321
4.19504	  2.51824   0.0339372
4.17824	  2.4764    0.0342494
4.16151	  2.45969   0.0340913
4.14485	  2.43959   0.0320641
4.12825	  2.41843   0.0325347
4.11172	  2.37988   0.03207
4.09525	  2.36786   0.0303993
4.07886	  2.33728   0.0301872
4.06252	  2.31928   0.0304542
4.04626	  2.29395   0.0295561
4.03005	  2.27981   0.0285186
4.01391	  2.28779   0.0300075
3.99784	  2.22856   0.0277648
3.98183	  2.23069   0.0288373
3.96589	  2.19755   0.0272505
3.95001	  2.20688   0.0259275
3.93419	  2.19122   0.026904
3.91844	  2.1896    0.0273099
3.90275	  2.15048   0.0270734
3.88712	  2.11892   0.0255038
3.87155	  2.10666   0.0250177
3.85605	  2.10841   0.0253357
3.84061	  2.11195   0.0243852
3.82523	  2.08599   0.0235365
3.80991	  2.07774   0.0243051
3.79466	  2.06357   0.0234035
3.77946	  2.04322   0.0243984
3.76433	  2.04653   0.0238785
3.74925	  2.05064   0.0233703
3.73424	  2.02805   0.0230637
3.71929	  2.01393   0.0237698
3.70439	  2.0147    0.0217698
3.68956	  1.98255   0.0231451
3.67479	  1.96987   0.0234694
3.66007	  1.97065   0.0221487
3.64541	  1.9445    0.0220043
3.63082	  1.93309   0.0225651
3.61628	  1.95049   0.0218849
3.6018 	  1.92026   0.0214238
3.58737	  1.8823    0.0226075
3.57301	  1.90472   0.0199234
3.5587 	  1.91047   0.0210254
3.54445	  1.90488   0.0208846
3.53026	  1.87021   0.0208468
3.51612	  1.88634   0.021534
3.50204	  1.87464   0.0201173
3.48802	  1.88597   0.0219919
3.47405	  1.84753   0.019761
3.46014	  1.86308   0.0205099
3.44628	  1.8393    0.0203457
3.43248	  1.83982   0.0206186
3.41874	  1.81921   0.0210671
3.40505	  1.81612   0.0209995
3.39141	  1.79369   0.0201318
3.37783	  1.82415   0.0199858
3.36431	  1.80237   0.0191492
3.35084	  1.80587   0.0185285
3.33742	  1.7588    0.0190833
3.32405	  1.77455   0.0181813
3.31074	  1.76309   0.0176767
3.29749	  1.76982   0.0188425
3.28428	  1.73848   0.0177012
3.27113	  1.74919   0.0170917
3.25803	  1.73011   0.0177921
3.24499	  1.7181    0.0158575
3.23199	  1.70523   0.0162902
3.21905	  1.69983   0.0180801
3.20616	  1.70104   0.0178876
3.19332	  1.67963   0.0183926
3.18053	  1.69661   0.0195394
3.1678 	  1.69288   0.0186493
3.15511	  1.64255   0.0179556
3.14248	  1.69986   0.0174061
3.1299 	  1.64438   0.017488
