# wave A(l)/A(V) unc type
0.11701444543424377 5.4176459980372185 0.1032219276339054 spec
0.12703199442658303 4.752853473898855 0.08375995156522892 spec
0.13235792060868376 4.671941852629287 0.08390085400631052 spec
0.13790714085008998 4.395775332012629 0.0583456651927308 spec
0.14368901694726988 4.223283401884845 0.05200361253988084 spec
0.14971330319810144 4.005375779331094 0.05564808449432365 spec
0.1559901628578337 3.7112137122201223 0.07047899506742132 spec
0.16253018528497776 3.6516151965644466 0.047553668856758394 spec
0.16934440380605456 3.619164194092023 0.04245833891780579 spec
0.17644431432933738 3.5273545647901408 0.041188712204053776 spec
0.18384189473899187 3.41718627984076 0.029416325133850823 spec
0.1915496251023318 3.2705098239622634 0.010657716071328573 spec
0.1995805087242818 3.3322401341437735 0.01734756553480046 spec
0.20794809408456638 3.3502336329604927 0.012130192714050338 spec
0.216666497694635 3.385981914764564 0.0397076097575254 spec
0.2257504279128828 3.139181257277802 0.027729626813050585 spec
0.23521520975834567 2.8057305783371564 0.022880213706975107 spec
0.24507681076473067 2.636005637080303 0.014538738385996147 spec
0.25535186791839903 2.514649982179777 0.007126586158241167 spec
0.26605771572574743 2.299400811815393 0.011083699616338564 spec
0.27721241545733843 2.1865630620178007 0.02234139631596784 spec
0.28883478561811626 2.1714747651498394 0.007120837703763066 spec
0.30094443369511337 2.013597970861842 0.0120703720266099 spec
0.3628658354282379 1.6746842300512743 0.00040831423990903573 JohnU
0.43783867359161377 1.3942325108128082 0.006685972865933271 JohnB
0.5442439317703247 1.01686775136653 0.0002159286715026245 JohnV
1.2309569120407104 0.3024797256658269 0.04839927738226376 JohnJ
1.6215280294418335 0.1738600487817531 0.04846869511215765 JohnH
2.1742196083068848 0.06818160198036438 0.0798256207489614 JohnK
