# wave A(l)/A(V) unc type
0.11701444543424377 3.9373536358818444 0.04744365681461984 spec
0.12192037721493712 3.6998489785779634 0.04927978883718951 spec
0.12703199442658303 3.677349430903525 0.034590352855707836 spec
0.13235792060868376 3.451448574663211 0.031596881557140036 spec
0.13790714085008998 3.2701206272563987 0.031070565669504384 spec
0.14368901694726988 3.099020854700977 0.02597841879592683 spec
0.14971330319810144 3.164595442691216 0.029574724132172325 spec
0.1559901628578337 3.159264678006032 0.032860611499344564 spec
0.16253018528497776 3.076955095548298 0.02914888003979354 spec
0.16934440380605453 2.9428477626651097 0.028467722770137392 spec
0.17644431432933738 2.77045710927858 0.028944973760550458 spec
0.18384189473899187 2.7381547867471134 0.02540449750257181 spec
0.1915496251023318 2.896659751223985 0.028179933241875194 spec
0.1995805087242818 2.9807449693567736 0.027592489117520182 spec
0.20794809408456638 3.1377510938834257 0.027490638126286028 spec
0.216666497694635 3.1299747315385638 0.02657080261245778 spec
0.2257504279128828 3.0033158943049614 0.02563378809474924 spec
0.23521520975834567 2.7465311157892724 0.02095749144079734 spec
0.24507681076473067 2.435961837972117 0.01680332419454717 spec
0.25535186791839903 2.3406657241917896 0.014814632512722838 spec
0.26605771572574743 2.1446672843245653 0.012053609415550193 spec
0.270330011844635 2.2238411903381348 0.06587726414964734 WFC3_F275W
0.27721241545733843 2.070666656128288 0.011774254420118606 spec
0.28883478561811626 1.9334860803060148 0.010219209956272944 spec
0.30094443369511337 1.8320703876789626 0.009992617699698352 spec
0.3354650139808655 1.7025439739227295 0.037666677864612266 WFC3_F336W
0.4745999872684479 1.2050344944000244 0.009864710490009298 ACS_F475W
0.8044999837875366 0.5452760457992554 0.012643337514682123 ACS_F814W
1.1534459590911865 0.33057621121406555 0.011268068216515943 WFC3_F110W
1.536918044090271 0.14276249706745148 0.012213179118755503 WFC3_F160W
