    lam[um]     A_lam/A_V
    0.0351400      3.20460
    0.0356200      3.18752
    0.0361000      3.21836
    0.0365900      3.24884
    0.0370800      3.27974
    0.0375800      3.31026
    0.0380900      3.34193
    0.0386100      3.37320
    0.0391300      3.40974
    0.0396600      3.44782
    0.0401900      3.48597
    0.0407400      3.52463
    0.0412900      3.56281
    0.0418500      3.61974
    0.0424100      3.67718
    0.0429900      3.74288
    0.0435700      3.82116
    0.0441600      3.89855
    0.0447500      3.96637
    0.0453600      4.03123
    0.0459700      4.09669
    0.0465900      4.17534
    0.0472200      4.25369
    0.0478600      4.33073
    0.0485100      4.40515
    0.0491700      4.47975
    0.0498300      4.55644
    0.0505000      4.63711
    0.0511900      4.71871
    0.0518800      4.80266
    0.0525800      4.89082
    0.0532900      4.98083
    0.0540100      5.07436
    0.0547400      5.17858
    0.0554800      5.28582
    0.0562300      5.39648
    0.0569900      5.51360
    0.0577700      5.63579
    0.0585500      5.86839
    0.0593400      6.08490
    0.0601400      6.31312
    0.0609500      6.54223
    0.0617800      6.77220
    0.0626100      7.01607
    0.0634600      7.26489
    0.0643200      7.51390
    0.0651900      7.76286
    0.0660700      8.03653
    0.0669600      8.30291
    0.0678700      8.57846
    0.0687900      8.85439
    0.0697200      9.05435
    0.0706600      9.20788
    0.0716100      9.30424
    0.0725800      9.33155
    0.0735600      9.25005
    0.0745600      9.09254
    0.0755700      8.89870
    0.0765900      8.68582
    0.0776200      8.45695
    0.0786700      8.16635
    0.0797400      7.89481
    0.0808200      7.64353
    0.0819100      7.41193
    0.0830200      7.21239
    0.0841400      7.05803
    0.0852800      6.91796
    0.0864300      6.79026
    0.0876000      6.67325
    0.0887800      6.57240
    0.0899800      6.50492
    0.0912000      6.43513
    0.0924300      6.32012
    0.0936800      6.20141
    0.0949500      6.07402
    0.0962400      5.92435
    0.0975400      5.77021
    0.0988600      5.61529
     0.100190      5.44523
     0.101550      5.30839
     0.102920      5.16658
     0.104310      5.00919
     0.105720      4.85585
     0.107150      4.70911
     0.108600      4.57011
     0.110070      4.43897
     0.111560      4.32717
     0.113070      4.23448
     0.114600      4.13812
     0.116140      4.05303
     0.117720      3.96948
     0.119310      3.89048
     0.120920      3.81235
     0.122560      3.73784
     0.124210      3.66556
     0.125890      3.59547
     0.127600      3.52728
     0.129320      3.46175
     0.131070      3.41386
     0.132840      3.35434
     0.134640      3.29676
     0.136460      3.24008
     0.138300      3.18600
     0.140170      3.13311
     0.142070      3.08176
     0.143990      3.02982
     0.145940      2.97647
     0.147910      2.92521
     0.149910      2.87806
     0.151940      2.83480
     0.153990      2.79521
     0.156080      2.76087
     0.158190      2.73114
     0.160330      2.70559
     0.162490      2.68964
     0.164690      2.67604
     0.166920      2.67225
     0.169170      2.67388
     0.171460      2.68627
     0.173780      2.70556
     0.176130      2.72651
     0.178510      2.74939
     0.180930      2.78212
     0.183370      2.83075
     0.185850      2.88643
     0.188360      2.94809
     0.190910      3.01855
     0.193490      3.10131
     0.196110      3.19519
     0.198760      3.29978
     0.201450      3.40604
     0.204170      3.50706
     0.206940      3.59872
     0.209730      3.67456
     0.212570      3.72733
     0.215440      3.74665
     0.218360      3.71785
     0.221310      3.63973
     0.224300      3.53116
     0.227340      3.41172
     0.230410      3.29215
     0.233520      3.17287
     0.236680      3.05107
     0.239880      2.93651
     0.243130      2.83115
     0.246420      2.73565
     0.249750      2.65065
     0.253120      2.57828
     0.256550      2.51344
     0.260020      2.45402
     0.263530      2.39962
     0.267100      2.34908
     0.270710      2.30116
     0.274370      2.25701
     0.278080      2.22082
     0.281840      2.18607
     0.285650      2.15147
     0.289510      2.11948
     0.293430      2.08913
     0.297390      2.06050
     0.301420      2.03256
     0.305490      1.99840
     0.309620      1.96985
     0.313810      1.94232
     0.318050      1.91399
     0.322350      1.88560
     0.326710      1.85788
     0.331130      1.83184
     0.335610      1.80648
     0.340150      1.78181
     0.344750      1.75726
     0.349410      1.73302
     0.354130      1.70830
     0.358920      1.68379
     0.363780      1.65963
     0.368690      1.63644
     0.373680      1.61394
     0.378730      1.59156
     0.383850      1.56891
     0.389050      1.54591
     0.394310      1.52285
     0.399640      1.50011
     0.405040      1.47769
     0.410520      1.45572
     0.416070      1.43403
     0.421700      1.41228
     0.427400      1.39028
     0.433180      1.36815
     0.439040      1.34611
     0.444970      1.32446
     0.450990      1.30317
     0.457090      1.28215
     0.463270      1.26123
     0.469530      1.24026
     0.475880      1.21920
     0.482320      1.19813
     0.488840      1.17740
     0.495450      1.15713
     0.502150      1.13713
     0.508940      1.11731
     0.515820      1.09758
     0.522800      1.07787
     0.529870      1.05817
     0.537030      1.03857
     0.544290      1.01912
     0.551650      1.00000
     0.559110     0.981567
     0.566670     0.963301
     0.574340     0.945163
     0.582100     0.927134
     0.589970     0.909229
     0.597950     0.891472
     0.606040     0.873883
     0.614230     0.856461
     0.622540     0.839215
     0.630960     0.822149
     0.639490     0.805262
     0.648140     0.788556
     0.656900     0.772041
     0.665780     0.756002
     0.674790     0.740138
     0.683910     0.724448
     0.693160     0.708944
     0.702530     0.693675
     0.712030     0.678703
     0.721660     0.663922
     0.731420     0.649320
     0.741310     0.634899
     0.751340     0.620667
     0.761490     0.606634
     0.771790     0.592809
     0.782230     0.579186
     0.792810     0.565753
     0.803530     0.552555
     0.814390     0.539643
     0.825400     0.526938
     0.836570     0.514454
     0.847880     0.502189
     0.859340     0.490137
     0.870960     0.478281
     0.882740     0.466610
     0.894680     0.455117
     0.906780     0.443858
     0.919040     0.432829
     0.931470     0.421998
     0.944060     0.411362
     0.956830     0.400921
     0.969770     0.390671
     0.982880     0.380612
     0.996170     0.370738
      1.00964     0.361107
      1.02329     0.351680
      1.03713     0.342439
      1.05115     0.333384
      1.06537     0.324512
      1.07978     0.315829
      1.09438     0.307330
      1.10917     0.299009
      1.12417     0.290863
      1.13938     0.282968
      1.15478     0.275269
      1.17040     0.267743
      1.18622     0.260395
      1.20226     0.253218
      1.21852     0.246213
      1.23500     0.239379
      1.25170     0.232704
      1.26863     0.226249
      1.28578     0.219953
      1.30317     0.213815
      1.32079     0.207845
      1.33865     0.202030
      1.35675     0.196364
      1.37510     0.190845
      1.39369     0.185478
      1.41254     0.180251
      1.43164     0.175159
      1.45100     0.170201
      1.47062     0.165396
      1.49050     0.160733
      1.51066     0.156190
      1.53109     0.151766
      1.55179     0.147460
      1.57278     0.143286
      1.59404     0.139221
      1.61560     0.135263
      1.63744     0.131408
      1.65959     0.127658
      1.68203     0.124009
      1.70477     0.120458
      1.72783     0.117003
      1.75119     0.113641
      1.77487     0.110375
      1.79887     0.107214
      1.82320     0.104141
      1.84785     0.101155
      1.87284    0.0982536
      1.89816    0.0954353
      1.92383    0.0927106
      1.94984    0.0900720
      1.97621    0.0875105
      2.00293    0.0850247
      2.03002    0.0826125
      2.05747    0.0802723
      2.08529    0.0780075
      2.11349    0.0758136
      2.14207    0.0736864
      2.17103    0.0716248
      2.20039    0.0696262
      2.23015    0.0676922
      2.26030    0.0658194
      2.29087    0.0640111
      2.32185    0.0622589
      2.35324    0.0605612
      2.38506    0.0589159
      2.41732    0.0573220
      2.45000    0.0557860
      2.48313    0.0543005
      2.51671    0.0528617
      2.55074    0.0514673
      2.58523    0.0501161
      2.62019    0.0488066
      2.65562    0.0475375
      2.69153    0.0463070
      2.72793    0.0451143
      2.76482    0.0439594
      2.80221    0.0428435
      2.84010    0.0417618
      2.87850    0.0407126
      2.91743    0.0396955
      2.95688    0.0387089
      2.99686    0.0377522
      3.03739    0.0368246
      3.07846    0.0359259
      3.12009    0.0350641
      3.16228    0.0342423
      3.20504    0.0334634
      3.24838    0.0328032
      3.29230    0.0331182
      3.33682    0.0314330
      3.38195    0.0304584
      3.42768    0.0297045
      3.47403    0.0290006
      3.52101    0.0283245
      3.56862    0.0276705
      3.61687    0.0270363
      3.66578    0.0264217
      3.71535    0.0258265
      3.76559    0.0252479
      3.81651    0.0246853
      3.86812    0.0241380
      3.92043    0.0236091
      3.97344    0.0230950
      4.02717    0.0225947
      4.08163    0.0221077
      4.13682    0.0216331
      4.19276    0.0211660
      4.24946    0.0207111
      4.30692    0.0202680
      4.36516    0.0198363
      4.42419    0.0194158
      4.48401    0.0190136
      4.54465    0.0186224
      4.60610    0.0182411
      4.66839    0.0178697
      4.73151    0.0175077
      4.79549    0.0171606
      4.86034    0.0168302
      4.92606    0.0165083
      4.99268    0.0161949
      5.06019    0.0158931
      5.12861    0.0156009
      5.19797    0.0153256
      5.26825    0.0150657
      5.33949    0.0147987
      5.41170    0.0145400
      5.48487    0.0142930
      5.55904    0.0140657
      5.63421    0.0138571
      5.71040    0.0136642
      5.78762    0.0134562
      5.86588    0.0132606
      5.94520    0.0130879
      6.02560    0.0129426
      6.10708    0.0128440
      6.18966    0.0128359
      6.27336    0.0126238
      6.35819    0.0123308
      6.44417    0.0121266
      6.53131    0.0119590
      6.61962    0.0117977
      6.70914    0.0116403
      6.79986    0.0114777
      6.89181    0.0113199
      6.98500    0.0111975
      7.07946    0.0110918
      7.17519    0.0111093
      7.27221    0.0111460
      7.37055    0.0114838
      7.47022    0.0119331
      7.57123    0.0128889
      7.67362    0.0141863
      7.77738    0.0158218
      7.88255    0.0183630
      7.98914    0.0209306
      8.09717    0.0247136
      8.20666    0.0287072
      8.31764    0.0326421
      8.43011    0.0361941
      8.54411    0.0394416
      8.65964    0.0428598
      8.77674    0.0469102
      8.89542    0.0517570
      9.01571    0.0570977
      9.13763    0.0622815
      9.26119    0.0664368
      9.38642    0.0687732
      9.51335    0.0690527
      9.64199    0.0678810
      9.77237    0.0658954
      9.90452    0.0638440
      10.0385    0.0619546
      10.1742    0.0602041
      10.3118    0.0581987
      10.4512    0.0553009
      10.5925    0.0519453
      10.7358    0.0486073
      10.8809    0.0456367
      11.0281    0.0431641
      11.1772    0.0409086
      11.3284    0.0386370
      11.4815    0.0366031
      11.6368    0.0343352
      11.7942    0.0323678
      11.9536    0.0304291
      12.1153    0.0285228
      12.2791    0.0268390
      12.4451    0.0253518
      12.6134    0.0238883
      12.7840    0.0224132
      12.9569    0.0210157
      13.1321    0.0198524
      13.3097    0.0187860
      13.4896    0.0177679
      13.6720    0.0169340
      13.8569    0.0162842
      14.0443    0.0158957
      14.2342    0.0158665
      14.4267    0.0159616
      14.6218    0.0163673
      14.8195    0.0168121
      15.0199    0.0173190
      15.2230    0.0178801
      15.4288    0.0184877
      15.6375    0.0191392
      15.8489    0.0198169
      16.0632    0.0205224
      16.2805    0.0212449
      16.5006    0.0219719
      16.7237    0.0226570
      16.9499    0.0232695
      17.1791    0.0238479
      17.4114    0.0243370
      17.6468    0.0247685
      17.8855    0.0250335
      18.1273    0.0252070
      18.3724    0.0252421
      18.6209    0.0251616
      18.8727    0.0249647
      19.1279    0.0245928
      19.3865    0.0241989
      19.6487    0.0236156
      19.9144    0.0230417
      20.1837    0.0224207
      20.4566    0.0218530
      20.7332    0.0213643
      21.0136    0.0208833
      21.2977    0.0204070
      21.5857    0.0199877
      21.8776    0.0195985
      22.1735    0.0192164
      22.4733    0.0187914
      22.7772    0.0184236
      23.0852    0.0181063
      23.3974    0.0178367
      23.7137    0.0175550
      24.0344    0.0173042
      24.3594    0.0170803
      24.6888    0.0168819
      25.0227    0.0166746
      25.3610    0.0165012
      25.7040    0.0163388
      26.0515    0.0161872
      26.4038    0.0160466
      26.7609    0.0159167
      27.1227    0.0157975
      27.4895    0.0156889
      27.8612    0.0155878
      28.2380    0.0154901
      28.6198    0.0153949
      29.0068    0.0153008
      29.3991    0.0152066
      29.7966    0.0151107
      30.1995    0.0149872
      30.6079    0.0148304
      31.0218    0.0146621
      31.4413    0.0144807
      31.8664    0.0142850
      32.2973    0.0140738
      32.7341    0.0138464
      33.1767    0.0136021
      33.6253    0.0133334
      34.0800    0.0130303
      34.5409    0.0127164
      35.0080    0.0123930
      35.4813    0.0120616
      35.9611    0.0117237
      36.4474    0.0113808
      36.9403    0.0110346
      37.4398    0.0106866
      37.9461    0.0103346
      38.4592   0.00998573
      38.9792   0.00964259
      39.5063   0.00930596
      40.0405   0.00897644
      40.5820   0.00865458
      41.1308   0.00834078
      41.6869   0.00804067
      42.2506   0.00775230
      42.8220   0.00747277
      43.4010   0.00720205
      43.9879   0.00694000
      44.5827   0.00668650
      45.1856   0.00644333
      45.7966   0.00621776
      46.4159   0.00599960
      47.0435   0.00578865
      47.6797   0.00558465
      48.3244   0.00538741
      48.9779   0.00519671
      49.6402   0.00501233
      50.3114   0.00483744
      50.9918   0.00467187
      51.6813   0.00451164
      52.3801   0.00436002
      53.0884   0.00421305
      53.8063   0.00407056
      54.5339   0.00393528
      55.2713   0.00380444
      56.0187   0.00367744
      56.7762   0.00355630
      57.5440   0.00344027
      58.3221   0.00332749
      59.1108   0.00321823
      59.9101   0.00311542
      60.7202   0.00301536
      61.5413   0.00291796
      62.3735   0.00282417
      63.2169   0.00273402
      64.0718   0.00264742
      64.9382   0.00256391
      65.8163   0.00248345
      66.7063   0.00240546
      67.6083   0.00233027
      68.5225   0.00225738
      69.4491   0.00218749
      70.3882   0.00211985
      71.3400   0.00205458
      72.3047   0.00199181
      73.2825   0.00193094
      74.2734   0.00187226
      75.2778   0.00181506
      76.2957   0.00176023
      77.3274   0.00170659
      78.3730   0.00165549
      79.4328   0.00160574
      80.5069   0.00155766
      81.5956   0.00151123
      82.6990   0.00146583
      83.8172   0.00142276
      84.9506   0.00138056
      86.0994   0.00133987
      87.2636   0.00130062
      88.4437   0.00126215
      89.6396   0.00122570
      90.8518   0.00119011
      92.0803   0.00115542
      93.3254   0.00112223
      94.5874   0.00108970
      95.8665   0.00105829
      97.1628   0.00102826
      98.4767  0.000998805
      99.8083  0.000969913
      101.158  0.000942566
      102.526  0.000915894
      103.912  0.000890405
      105.317  0.000866311
      106.742  0.000842686
      108.185  0.000819525
      109.648  0.000796818
      111.131  0.000774561
      112.633  0.000752747
      114.156  0.000732796
      115.700  0.000713345
      117.265  0.000694312
      118.850  0.000676190
      120.457  0.000658993
      122.086  0.000642180
      123.737  0.000625751
      125.410  0.000610533
      127.106  0.000595745
      128.825  0.000581213
      130.567  0.000566918
      132.333  0.000552832
      134.122  0.000538930
      135.936  0.000525374
      137.774  0.000512037
      139.637  0.000498704
      141.525  0.000485381
      143.439  0.000472076
      145.378  0.000458804
      147.344  0.000445580
      149.337  0.000432424
      151.356  0.000419998
      153.403  0.000408095
      155.477  0.000396425
      157.580  0.000384992
      159.710  0.000373798
      161.870  0.000362839
      164.059  0.000352117
      166.277  0.000341627
      168.526  0.000331366
      170.805  0.000321327
      173.114  0.000311510
      175.455  0.000302132
      177.828  0.000293872
      180.233  0.000285781
      182.670  0.000277861
      185.140  0.000270101
      187.643  0.000262499
      190.181  0.000255050
      192.753  0.000247748
      195.359  0.000240590
      198.001  0.000233574
      200.678  0.000226879
      203.392  0.000220860
      206.142  0.000214950
      208.930  0.000209146
      211.755  0.000203445
      214.618  0.000197846
      217.520  0.000192347
      220.462  0.000186944
      223.443  0.000181637
      226.464  0.000176594
      229.527  0.000171823
      232.631  0.000167137
      235.776  0.000162534
      238.964  0.000158012
      242.196  0.000153576
      245.471  0.000149221
      248.790  0.000144931
      252.154  0.000140656
      255.564  0.000136441
      259.020  0.000132295
      262.523  0.000128355
      266.073  0.000124533
      269.670  0.000120773
      273.317  0.000117074
      277.013  0.000113609
      280.759  0.000110341
      284.555  0.000107126
      288.403  0.000103964
      292.303  0.000100853
      296.256  9.77938e-05
      300.262  9.48129e-05
      304.322  9.22696e-05
      308.437  8.97670e-05
      312.608  8.73046e-05
      316.835  8.48819e-05
      321.120  8.24981e-05
      325.462  8.01524e-05
      329.863  7.78446e-05
      334.323  7.55737e-05
      338.844  7.33393e-05
      343.426  7.11408e-05
      348.070  6.89776e-05
      352.777  6.71073e-05
      357.547  6.53370e-05
      362.382  6.36024e-05
      367.282  6.18961e-05
      372.249  6.02169e-05
      377.283  5.85646e-05
      382.384  5.69389e-05
      387.555  5.53392e-05
      392.796  5.37653e-05
      398.107  5.22168e-05
      403.491  5.08601e-05
      408.947  4.95449e-05
      414.477  4.82556e-05
      420.081  4.70011e-05
      425.762  4.57667e-05
      431.519  4.45520e-05
      437.354  4.33566e-05
      443.268  4.21805e-05
      449.262  4.10364e-05
      455.337  4.00133e-05
      461.495  3.90071e-05
      467.735  3.80175e-05
      474.060  3.70441e-05
      480.470  3.60865e-05
      486.968  3.51450e-05
      493.552  3.42188e-05
      500.226  3.33116e-05
      506.991  3.25080e-05
      513.846  3.17173e-05
      520.795  3.09392e-05
      527.837  3.01736e-05
      534.975  2.94202e-05
      542.209  2.86790e-05
      549.541  2.79600e-05
      556.972  2.72951e-05
      564.504  2.66411e-05
      572.137  2.59976e-05
      579.874  2.53648e-05
      587.715  2.47425e-05
      595.662  2.41301e-05
      603.717  2.35468e-05
      611.881  2.29816e-05
      620.155  2.24261e-05
      628.541  2.18928e-05
      637.040  2.13684e-05
      645.654  2.08638e-05
      654.385  2.03687e-05
      663.234  1.98875e-05
      672.202  1.94179e-05
      681.292  1.89600e-05
      690.505  1.85162e-05
      699.842  1.80799e-05
      709.306  1.76755e-05
      718.897  1.72782e-05
      728.618  1.68873e-05
      738.471  1.65028e-05
      748.457  1.61245e-05
      758.578  1.57630e-05
      768.835  1.54094e-05
      779.232  1.50616e-05
      789.769  1.47195e-05
      800.448  1.43864e-05
      811.272  1.40669e-05
      822.243  1.37526e-05
      833.361  1.34436e-05
      844.630  1.31397e-05
      856.052  1.28408e-05
