    lam[um]     A_lam/A_V
      5688.53  5.38820e-07
      5765.45  5.26615e-07
      5843.41  5.14603e-07
      5922.43  5.02777e-07
      6002.52  4.91139e-07
      6083.68  4.79683e-07
      6165.95  4.68405e-07
      6249.33  4.57830e-07
      6333.83  4.47770e-07
      6419.48  4.37867e-07
      6506.29  4.28123e-07
      6594.27  4.18534e-07
      6683.44  4.09095e-07
      6773.82  3.99808e-07
      6865.41  3.90666e-07
      6958.25  3.81670e-07
      7052.34  3.73219e-07
      7147.71  3.65233e-07
      7244.36  3.57376e-07
      7342.32  3.49646e-07
      7441.61  3.42037e-07
      7542.23  3.34551e-07
      7644.22  3.27186e-07
      7747.59  3.19937e-07
      7852.36  3.12805e-07
      7958.54  3.05786e-07
      8066.16  2.98882e-07
      8175.23  2.92084e-07
      8285.78  2.85398e-07
      8397.82  2.78816e-07
      8511.38  2.72342e-07
      8626.47  2.65967e-07
      8743.12  2.59697e-07
      8861.35  2.53525e-07
      8981.18  2.47450e-07
      9102.63  2.41852e-07
      9225.71  2.36401e-07
      9350.47  2.31038e-07
      9476.91  2.25760e-07
      9605.06  2.20567e-07
      9734.94  2.15457e-07
      9866.58  2.10428e-07
      10000.0  2.05476e-07
