Extinction, scattering, and absorption properties computed for the
carbonaceous - silicate dust model of Weingartner & Draine (2001) and
Li & Draine (2001).

Model consists of mixture of carbonaceous grains, and amorphous
silicate grains.  Carbonaceous grains are PAH-like when small, and
graphite-like when large (see Li & Draine 2001).  Size distributions
from Weingartner & Draine (2001).  PAH optical properties are from Li
& Draine (2001).  Graphite and silicate optical properties from Draine
& Lee (1984), Laor & Draine (1993), Weingartner & Draine (2001), and
Li & Draine (2001).

Grain size distribution: Weingartner & Draine (2001) model for
"SMC bar" dust with C/H = b_C = 0 in two log-normal size
distributions.

The PAH/graphitic grains in the log-normal size distributions are
assumed to be 50% neutral and 50% ionized.  The PAH/graphitic grains
in the size distribution given by eq. (5,6) of Weingartner & Draine
(2001) are assumed to be 100% ionized.

Calculated by B.T. Draine, Princeton University, 2001.07.05

References:
Draine, B.T., & Lee, H.-M. 1984, "Optical Properties of Interstellar
    Graphite and Silicate Grains", Astrophys. J., 285, 89-108
Laor, A., & Draine, B.T. 1993, "Spectroscopic Constraints on the Properties
    of Dust in Active Galactic Nuclei", Astrophys. J., 402, 441-468
Li, A., & Draine, B.T. 2001, "Infrared Emission from Interstellar Dust. II.
    The Diffuse Interstellar Medium", Astrophys. J., 554, 778-802
Weingartner, J.C., & Draine, B.T. 2001, "Dust Grain-Size Distributions and 
    Extinction in the Milky Way, LMC, and SMC", Astrophys. J., 548, 296-309

Tabulated quantities:
lambda  = wavelength in vacuo (micron) [2401 values from 1.e-2 to 1.e4 um]
albedo  = (scattering cross section)/(extinction cross section)
g       = <cos(theta)> for scattered light
C_ext/H = extinction cross section per H nucleon (cm^2/H)
K_abs   = absorption cross section per mass of dust (cm^2/gram)

 lambda   albedo    g     C_ext/H    K_abs
(micron)                  (cm^2/H)  (cm^2/g)
--------- ------  ------ --------- ---------
1.522E-02 0.3491  0.9714 1.915E-22 3.555E+04
1.531E-02 0.3487  0.9710 1.920E-22 3.568E+04
1.540E-02 0.3483  0.9707 1.926E-22 3.580E+04
1.549E-02 0.3479  0.9704 1.932E-22 3.593E+04
1.558E-02 0.3475  0.9700 1.937E-22 3.606E+04
1.567E-02 0.3471  0.9697 1.943E-22 3.618E+04
1.576E-02 0.3467  0.9693 1.948E-22 3.631E+04
1.585E-02 0.3463  0.9690 1.954E-22 3.644E+04
1.594E-02 0.3459  0.9686 1.960E-22 3.656E+04
1.603E-02 0.3454  0.9683 1.965E-22 3.669E+04
1.613E-02 0.3450  0.9679 1.971E-22 3.682E+04
1.622E-02 0.3445  0.9676 1.976E-22 3.695E+04
1.631E-02 0.3441  0.9672 1.982E-22 3.708E+04
1.641E-02 0.3436  0.9669 1.987E-22 3.720E+04
1.650E-02 0.3431  0.9665 1.993E-22 3.733E+04
1.660E-02 0.3427  0.9661 1.998E-22 3.746E+04
1.669E-02 0.3423  0.9657 2.004E-22 3.759E+04
1.679E-02 0.3418  0.9654 2.009E-22 3.772E+04
1.688E-02 0.3414  0.9650 2.015E-22 3.786E+04
1.698E-02 0.3409  0.9646 2.021E-22 3.799E+04
1.708E-02 0.3403  0.9642 2.026E-22 3.812E+04
1.718E-02 0.3398  0.9638 2.032E-22 3.826E+04
1.728E-02 0.3392  0.9634 2.037E-22 3.839E+04
1.738E-02 0.3386  0.9630 2.042E-22 3.853E+04
1.748E-02 0.3380  0.9627 2.048E-22 3.867E+04
1.758E-02 0.3373  0.9623 2.053E-22 3.881E+04
1.768E-02 0.3367  0.9619 2.058E-22 3.894E+04
1.778E-02 0.3359  0.9615 2.063E-22 3.909E+04
1.789E-02 0.3350  0.9611 2.068E-22 3.923E+04
1.799E-02 0.3340  0.9607 2.073E-22 3.938E+04
1.809E-02 0.3330  0.9604 2.078E-22 3.953E+04
1.820E-02 0.3320  0.9600 2.083E-22 3.968E+04
1.830E-02 0.3310  0.9596 2.087E-22 3.983E+04
1.841E-02 0.3299  0.9593 2.092E-22 3.998E+04
1.851E-02 0.3288  0.9589 2.097E-22 4.014E+04
1.862E-02 0.3277  0.9585 2.101E-22 4.029E+04
1.873E-02 0.3266  0.9582 2.106E-22 4.045E+04
1.884E-02 0.3245  0.9579 2.108E-22 4.061E+04
1.895E-02 0.3212  0.9578 2.107E-22 4.079E+04
1.905E-02 0.3286  0.9592 2.026E-22 3.880E+04
1.916E-02 0.3293  0.9587 2.034E-22 3.891E+04
1.928E-02 0.3302  0.9581 2.042E-22 3.901E+04
1.939E-02 0.3311  0.9575 2.050E-22 3.912E+04
1.950E-02 0.3318  0.9569 2.059E-22 3.923E+04
1.961E-02 0.3325  0.9563 2.066E-22 3.935E+04
1.972E-02 0.3331  0.9557 2.074E-22 3.946E+04
1.984E-02 0.3335  0.9551 2.082E-22 3.958E+04
1.995E-02 0.3339  0.9545 2.090E-22 3.970E+04
2.007E-02 0.3343  0.9539 2.097E-22 3.982E+04
2.018E-02 0.3345  0.9534 2.104E-22 3.994E+04
2.030E-02 0.3347  0.9528 2.111E-22 4.007E+04
2.042E-02 0.3348  0.9522 2.118E-22 4.019E+04
2.054E-02 0.3349  0.9516 2.125E-22 4.032E+04
2.065E-02 0.3349  0.9511 2.132E-22 4.045E+04
2.077E-02 0.3348  0.9505 2.139E-22 4.058E+04
2.089E-02 0.3347  0.9499 2.145E-22 4.071E+04
2.101E-02 0.3346  0.9494 2.152E-22 4.084E+04
2.113E-02 0.3343  0.9488 2.158E-22 4.098E+04
2.126E-02 0.3341  0.9482 2.164E-22 4.111E+04
2.138E-02 0.3338  0.9477 2.170E-22 4.125E+04
2.150E-02 0.3334  0.9471 2.176E-22 4.138E+04
2.163E-02 0.3331  0.9465 2.182E-22 4.152E+04
2.175E-02 0.3328  0.9460 2.189E-22 4.165E+04
2.188E-02 0.3325  0.9454 2.195E-22 4.179E+04
2.200E-02 0.3322  0.9448 2.201E-22 4.192E+04
2.213E-02 0.3318  0.9442 2.207E-22 4.206E+04
2.226E-02 0.3314  0.9437 2.213E-22 4.220E+04
2.239E-02 0.3310  0.9431 2.219E-22 4.234E+04
2.252E-02 0.3305  0.9425 2.225E-22 4.248E+04
2.265E-02 0.3298  0.9420 2.230E-22 4.263E+04
2.278E-02 0.3288  0.9415 2.235E-22 4.278E+04
2.291E-02 0.3278  0.9409 2.240E-22 4.294E+04
2.304E-02 0.3310  0.9411 2.215E-22 4.226E+04
2.317E-02 0.3317  0.9402 2.226E-22 4.244E+04
2.331E-02 0.3321  0.9393 2.237E-22 4.262E+04
2.344E-02 0.3322  0.9385 2.247E-22 4.280E+04
2.358E-02 0.3321  0.9377 2.257E-22 4.299E+04
2.371E-02 0.3319  0.9369 2.266E-22 4.318E+04
2.385E-02 0.3316  0.9362 2.274E-22 4.336E+04
2.399E-02 0.3313  0.9354 2.283E-22 4.354E+04
2.413E-02 0.3310  0.9347 2.291E-22 4.372E+04
2.427E-02 0.3306  0.9339 2.299E-22 4.391E+04
2.441E-02 0.3302  0.9332 2.308E-22 4.409E+04
2.455E-02 0.3298  0.9324 2.316E-22 4.427E+04
2.469E-02 0.3294  0.9317 2.324E-22 4.446E+04
2.483E-02 0.3290  0.9309 2.333E-22 4.464E+04
2.497E-02 0.3286  0.9301 2.341E-22 4.483E+04
2.512E-02 0.3281  0.9294 2.349E-22 4.501E+04
2.526E-02 0.3277  0.9286 2.357E-22 4.520E+04
2.541E-02 0.3272  0.9278 2.365E-22 4.538E+04
2.556E-02 0.3267  0.9271 2.373E-22 4.557E+04
2.570E-02 0.3262  0.9263 2.381E-22 4.575E+04
2.585E-02 0.3257  0.9255 2.389E-22 4.594E+04
2.600E-02 0.3252  0.9247 2.397E-22 4.613E+04
2.615E-02 0.3247  0.9239 2.404E-22 4.631E+04
2.630E-02 0.3242  0.9232 2.412E-22 4.650E+04
2.645E-02 0.3237  0.9224 2.420E-22 4.669E+04
2.661E-02 0.3231  0.9216 2.428E-22 4.688E+04
2.676E-02 0.3226  0.9208 2.436E-22 4.706E+04
2.692E-02 0.3221  0.9200 2.443E-22 4.725E+04
2.707E-02 0.3215  0.9192 2.451E-22 4.743E+04
2.723E-02 0.3210  0.9184 2.458E-22 4.761E+04
2.738E-02 0.3205  0.9176 2.466E-22 4.780E+04
2.754E-02 0.3200  0.9168 2.473E-22 4.798E+04
2.770E-02 0.3194  0.9159 2.481E-22 4.816E+04
2.786E-02 0.3189  0.9151 2.488E-22 4.834E+04
2.802E-02 0.3184  0.9143 2.496E-22 4.852E+04
2.818E-02 0.3179  0.9135 2.503E-22 4.870E+04
2.835E-02 0.3173  0.9126 2.511E-22 4.889E+04
2.851E-02 0.3168  0.9118 2.518E-22 4.907E+04
2.867E-02 0.3162  0.9110 2.525E-22 4.925E+04
